date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:02	318700/318700	---MCZ	200	added ('OK')	text/html	etag:W/%220ac88a955e5c2e6aee96b7912ccf8778%22	https://leoyinheichow.wixsite.com/blog-and-notes	C:/My%20Web%20Sites/blog/leoyinheichow.wixsite.com/blog-and-notes.html	(from )
21:56:02	201/201	---M--	200	added ('OK')	text/plain	date:Thu,%2031%20Mar%202022%2013:56:02%20GMT	https://leoyinheichow.wixsite.com/robots.txt		(from )
21:56:03	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/blog/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://leoyinheichow.wixsite.com/blog-and-notes)
21:56:03	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/blog/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://leoyinheichow.wixsite.com/blog-and-notes)
21:56:03	65522/65522	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2013%20Mar%202022%2023:08:12%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/blog/polyfill.io/v3/polyfill.mind82c.js	(from https://leoyinheichow.wixsite.com/blog-and-notes)
21:56:03	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/blog/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://leoyinheichow.wixsite.com/blog-and-notes)
21:56:04	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Mar%202022%2013:56:03%20GMT	https://leoyinheichow.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/blog/leoyinheichow.wixsite.com/decodeURIComponent(e	(from https://leoyinheichow.wixsite.com/blog-and-notes)
21:56:04	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Mar%202022%2013:56:03%20GMT	https://leoyinheichow.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/blog/leoyinheichow.wixsite.com/sitemap.xml	(from https://leoyinheichow.wixsite.com/blog-and-notes)
21:56:04	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Mar%202022%2013:56:04%20GMT	https://leoyinheichow.wixsite.com/feed.xml	C:/My%20Web%20Sites/blog/leoyinheichow.wixsite.com/feed.xml	(from https://leoyinheichow.wixsite.com/blog-and-notes)
21:56:04	176897/176897	---M-Z	200	added ('OK')	application/javascript	etag:W/%221552487b8bc4b18b845156277c1131c8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.80f72f6f.bundle.min.js	C:/My%20Web%20Sites/blog/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.80f72f6f.bundle.min.js	(from https://leoyinheichow.wixsite.com/blog-and-notes)
